"","Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","teams","opp","date","pinn.odds","totals","opp_dfsnm","AvgPEV","Cnt","DKPos"
"267","PF","Mike Scott",3000,"Was@Atl 08:00PM ET",7.077,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",2.8069358974359,39,"PF"
"268","PF","Jonas Jerebko",3000,"Orl@Bos 07:30PM ET",11.426,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-3.58241,40,"PF"
"269","PF","Jordan Mickey",3000,"Orl@Bos 07:30PM ET",5.692,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-3.58241,40,"PF"
"270","PF","Stephen Zimmerman Jr.",3000,"Orl@Bos 07:30PM ET",4.125,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",1.84642285714286,35,"PF"
"271","PF","Chris Bosh",3000,"Mia@Chi 08:00PM ET",0,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"272","PF","Josh McRoberts",3000,"Mia@Chi 08:00PM ET",13.523,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"273","PF","Luke Babbitt",3000,"Mia@Chi 08:00PM ET",9.264,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"274","PF","Bobby Portis",3000,"Mia@Chi 08:00PM ET",9.858,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",-1.08688787878788,33,"PF"
"275","PF","Justise Winslow",3000,"Mia@Chi 08:00PM ET",25.833,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"276","SF/PF","Richard Jefferson",3000,"Bkn@Cle 07:30PM ET",10.105,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",-1.655585,40,"PF"
"277","PF","Quincy Acy",3000,"Bkn@Cle 07:30PM ET",8.786,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"278","PF","Chris McCullough",3000,"Bkn@Cle 07:30PM ET",4.792,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"279","SF/PF","Lance Thomas",3000,"Cha@NY 07:30PM ET",9.15,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.995565,40,"PF"
"280","PF","Christian Wood",3000,"Cha@NY 07:30PM ET",2.5,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",0.829271111111111,45,"PF"
"281","PF","Maurice Ndour",3000,"Cha@NY 07:30PM ET",5.176,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.995565,40,"PF"
"282","PF/C","Kevin Seraphin",3000,"Sac@Ind 07:00PM ET",9.444,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.0758555555555552,36,"PF"
