"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22047-49114","PG","Frank","Frank Mason","Mason","10.222222222222221","9","3300","DEN@SAC","SAC","DEN","","","",""
"22047-9702","PG","Tony","Tony Parker","Parker","19.366666279141864","63","3300","ATL@SA","SA","ATL","O","Quadriceps","",""
"22047-66046","SG","Luke","Luke Kennard","Kennard","10.681818181818182","11","3300","CLE@DET","DET","CLE","","","",""
"22047-37931","C","Aron","Aron Baynes","Baynes","16.147058823529413","17","3200","BOS@DAL","BOS","DAL","","","",""
"22047-23097","PG","Tomas","Tomas Satoransky","Satoransky","6.844444274902344","9","3200","WAS@MIL","WAS","MIL","","","",""
"22047-9804","C","Alexis","Alexis Ajinca","Ajinca","13.651282677283653","39","3200","OKC@NO","NO","OKC","O","Knee","",""
"22047-66174","PG","Jawun","Jawun Evans","Evans","7.8125","8","3200","LAC@NY","LAC","NY","","","",""
"22047-14505","C","Bismack","Bismack Biyombo","Biyombo","12.831250190734863","16","3200","IND@ORL","ORL","IND","","","",""
"22047-14515","SG","Iman","Iman Shumpert","Shumpert","13.125","12","3200","CLE@DET","CLE","DET","O","Knee","",""
"22047-49349","PG","Isaiah","Isaiah Taylor","Taylor","12.5","13","3200","ATL@SA","ATL","SA","O","Eye","",""
"22047-9940","SF","Dante","Dante Cunningham","Cunningham","13.431249618530273","16","3200","OKC@NO","NO","OKC","","","",""
"22047-9447","SF","Joe","Joe Johnson","Johnson","13.185714721679688","7","3200","UTA@PHI","UTA","PHI","O","Wrist","",""
"22047-18256","SF","Doug","Doug McDermott","McDermott","13.533333333333333","15","3200","LAC@NY","NY","LAC","","","",""
"22047-20313","PG","Nate","Nate Wolters","Wolters","1.350000023841858","2","3200","UTA@PHI","UTA","PHI","","","",""
"22047-9587","PF","Michael","Michael Beasley","Beasley","10.545454545454545","11","3200","LAC@NY","NY","LAC","","","",""
"22047-16368","PF","Mike","Mike Scott","Scott","13.17999979654948","15","3200","WAS@MIL","WAS","MIL","","","",""
"22047-15993","SG","Pat","Pat Connaughton","Connaughton","10.381250381469727","16","3100","POR@MEM","POR","MEM","","","",""
"22047-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","10.085714067731585","14","3100","UTA@PHI","PHI","UTA","","","",""
"22047-42665","PG","Andrew","Andrew Harrison","Harrison","9.51818154074929","11","3100","POR@MEM","MEM","POR","","","",""
"22047-42667","C","Dakari","Dakari Johnson","Johnson","9.071428571428571","7","3100","OKC@NO","OKC","NO","","","",""
"22047-16071","PG","Tim","Tim Frazier","Frazier","14.056249618530273","16","3100","WAS@MIL","WAS","MIL","","","",""
"22047-22727","PG","Ron","Ron Baker","Baker","11.966667175292969","3","3100","LAC@NY","NY","LAC","GTD","Shoulder","",""
"22047-9935","C","Brandan","Brandan Wright","Wright","15.366666666666667","15","3100","POR@MEM","MEM","POR","O","Groin","",""
"22047-9465","PG","Raymond","Raymond Felton","Felton","15.046666463216146","15","3100","OKC@NO","OKC","NO","","","",""
"22047-19726","SG","Abdel","Abdel Nader","Nader","4.162499904632568","8","3100","BOS@DAL","BOS","DAL","","","",""
"22047-58134","SF","Justin","Justin Jackson","Jackson","10.349999564034599","14","3100","DEN@SAC","SAC","DEN","","","",""
"22047-9507","SG","Arron","Arron Afflalo","Afflalo","5.190908952192827","11","3100","IND@ORL","ORL","IND","","","",""
"22047-71467","PG","Malcolm","Malcolm Delaney","Delaney","13.464285714285714","14","3100","ATL@SA","ATL","SA","","","",""
"22047-15669","C","Meyers","Meyers Leonard","Leonard","10.199999809265137","4","3100","POR@MEM","POR","MEM","","","",""
"22047-63826","C","Boban","Boban Marjanovic","Marjanovic","10.649999618530273","2","3100","CLE@DET","DET","CLE","","","",""
"22047-15727","SG","Ben","Ben McLemore","McLemore","8.574999809265137","4","3100","POR@MEM","MEM","POR","","","",""
"22047-15762","SF","Darius","Darius Miller","Miller","8.693750381469727","16","3100","OKC@NO","NO","OKC","","","",""
