"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"188","San Antonio Stars","Indiana Fever",2015-07-21,1,-110,0.5,101,75,75,-103
"189","Washington Mystics","Tulsa Shock",2015-07-21,1.5,-110,2,-109,74,74.5,-106
"190","Tulsa Shock","Washington Mystics",2015-07-21,-1.5,-110,-2,-101,74,74.5,-104
"191","Atlanta Dream","Chicago Sky",2015-07-21,5,-110,5,-103,80.5,80.5,-114
"192","Chicago Sky","Atlanta Dream",2015-07-21,-5,-110,-5,-108,80.5,80.5,103
"193","New York Liberty","Seattle Storm",2015-07-21,-2,-110,-2,-118,71,72,-113
"194","Seattle Storm","New York Liberty",2015-07-21,2,-110,2,107,71,72,102
"195","Phoenix Mercury","L.A. Sparks",2015-07-21,-2,-110,-2,101,75,75,-107
"196","L.A. Sparks","Phoenix Mercury",2015-07-21,2,-110,2,-111,75,75,-103
"197","Connecticut Sun","Minnesota Lynx",2015-07-22,4,-105,4,106,72.5,73,-104
"198","Minnesota Lynx","Connecticut Sun",2015-07-22,-4,-115,-4,-117,72.5,73,-106
"199","New York Liberty","L.A. Sparks",2015-07-22,1,-110,NA,-110,73,NA,-110
"200","L.A. Sparks","New York Liberty",2015-07-22,-1,-110,NA,-110,73,NA,-110
"201","West","East",2015-07-25,-1,-110,NA,-110,114,NA,-110
"202","East","West",2015-07-25,1,-110,NA,-110,114,NA,-110
"203","Indiana Fever","Connecticut Sun",2015-07-28,1,-115,NA,-110,75.5,75.5,-111
"204","Connecticut Sun","Indiana Fever",2015-07-28,-1,-105,NA,-110,75.5,75.5,100
"205","Chicago Sky","Phoenix Mercury",2015-07-28,2.5,-110,1.5,-103,80,80,-115
"206","Phoenix Mercury","Chicago Sky",2015-07-28,-2.5,-110,-1.5,-107,80,80,104
"207","Seattle Storm","Washington Mystics",2015-07-29,4,-105,4.5,112,70.5,71,-106
"208","Washington Mystics","Seattle Storm",2015-07-29,-4,-115,-4.5,-123,70.5,71,-104
"209","New York Liberty","Indiana Fever",2015-07-29,NA,-110,-1,-102,74,74,-113
"210","Indiana Fever","New York Liberty",2015-07-29,NA,-110,1,-108,74,74,102
"211","Atlanta Dream","San Antonio Stars",2015-07-29,0.5,-105,2,-104,76.5,75.5,-117
"212","San Antonio Stars","Atlanta Dream",2015-07-29,-0.5,-115,-2,-106,76.5,75.5,106
"213","L.A. Sparks","Minnesota Lynx",2015-07-29,4.5,-110,4.5,100,73,73.5,-104
"214","Minnesota Lynx","L.A. Sparks",2015-07-29,-4.5,-110,-4.5,-110,73,73.5,-106
"215","Phoenix Mercury","Tulsa Shock",2015-07-30,-1,-110,-0.5,-118,77,76.5,-103
"216","Tulsa Shock","Phoenix Mercury",2015-07-30,1,-110,0.5,107,77,76.5,-107
"217","Seattle Storm","Connecticut Sun",2015-07-31,4,-115,3.5,-101,73,73,-111
"218","Connecticut Sun","Seattle Storm",2015-07-31,-4,-105,-3.5,-109,73,73,101
"219","Washington Mystics","San Antonio Stars",2015-07-31,-0.5,-115,-1,-104,74.5,73.5,-115
"220","San Antonio Stars","Washington Mystics",2015-07-31,0.5,-105,1,-106,74.5,73.5,104
"221","Atlanta Dream","Minnesota Lynx",2015-07-31,7.5,-110,7.5,-104,77.5,77,-116
"222","Minnesota Lynx","Atlanta Dream",2015-07-31,-7.5,-110,-7.5,-106,77.5,77,105
"223","L.A. Sparks","Chicago Sky",2015-07-31,2.5,-105,3,-112,81,80.5,-108
"224","Chicago Sky","L.A. Sparks",2015-07-31,-2.5,-115,-3,101,81,80.5,-102
"225","Minnesota Lynx","Tulsa Shock",2015-08-01,-3,-110,-2.5,-110,75.5,75,-115
"226","Tulsa Shock","Minnesota Lynx",2015-08-01,3,-110,2.5,100,75.5,75,104
"227","Seattle Storm","New York Liberty",2015-08-02,4.5,-110,5,-109,73,72.5,-118
"228","New York Liberty","Seattle Storm",2015-08-02,-4.5,-110,-5,-101,73,72.5,107
"229","Phoenix Mercury","Atlanta Dream",2015-08-02,-3,-110,-3,-126,77,77,-125
"230","Atlanta Dream","Phoenix Mercury",2015-08-02,3,-110,3,114,77,77,113
"231","L.A. Sparks","San Antonio Stars",2015-08-02,-2,-110,-2.5,-103,75,75,-107
"232","San Antonio Stars","L.A. Sparks",2015-08-02,2,-110,2.5,-107,75,75,-103
"233","Connecticut Sun","Indiana Fever",2015-08-02,3.5,-110,3,-107,75,74.5,-110
"234","Indiana Fever","Connecticut Sun",2015-08-02,-3.5,-110,-3,-103,75,74.5,100
"235","Washington Mystics","Chicago Sky",2015-08-02,2.5,-110,3,-109,79.5,78,-113
"236","Chicago Sky","Washington Mystics",2015-08-02,-2.5,-110,-3,-101,79.5,78,102
"237","San Antonio Stars","Connecticut Sun",2015-08-04,2.5,-110,1.5,-103,74.5,74.5,-126
"238","Connecticut Sun","San Antonio Stars",2015-08-04,-2.5,-110,-1.5,-107,74.5,74.5,114
"239","Indiana Fever","Chicago Sky",2015-08-04,3,-110,3,-108,80.5,80,-109
"240","Chicago Sky","Indiana Fever",2015-08-04,-3,-110,-3,-102,80.5,80,-101
"241","Tulsa Shock","Phoenix Mercury",2015-08-04,4.5,-110,4,-101,75.5,75,-114
"242","Phoenix Mercury","Tulsa Shock",2015-08-04,-4.5,-110,-4,-109,75.5,75,103
"243","Minnesota Lynx","L.A. Sparks",2015-08-04,-1.5,-110,-0.5,-114,76,75,-110
"244","L.A. Sparks","Minnesota Lynx",2015-08-04,1.5,-110,0.5,103,76,75,100
"245","San Antonio Stars","Washington Mystics",2015-08-05,5,-110,5.5,-105,74,73.5,101
"246","Washington Mystics","San Antonio Stars",2015-08-05,-5,-110,-5.5,-105,74,73.5,-112
"247","Tulsa Shock","L.A. Sparks",2015-08-06,4,-110,4,-104,75.5,75.5,-103
"248","L.A. Sparks","Tulsa Shock",2015-08-06,-4,-110,-4,-106,75.5,75.5,-107
"249","Washington Mystics","Connecticut Sun",2015-08-07,-1,-110,-0.5,-107,71,72.5,-107
"250","Connecticut Sun","Washington Mystics",2015-08-07,1,-110,0.5,-103,71,72.5,-103
"251","Atlanta Dream","Indiana Fever",2015-08-07,4,-105,4.5,100,79,78,-106
"252","Indiana Fever","Atlanta Dream",2015-08-07,-4,-115,-4.5,-111,79,78,-104
"253","New York Liberty","Chicago Sky",2015-08-07,2.5,-105,2,-103,79,78.5,-105
"254","Chicago Sky","New York Liberty",2015-08-07,-2.5,-115,-2,-107,79,78.5,-105
"255","Minnesota Lynx","Phoenix Mercury",2015-08-07,0,-110,-0.5,-102,74,74,-103
"256","Phoenix Mercury","Minnesota Lynx",2015-08-07,0,-110,0.5,-108,74,74,-107
"257","Seattle Storm","San Antonio Stars",2015-08-08,2,-110,2,107,73.5,73,-105
"258","San Antonio Stars","Seattle Storm",2015-08-08,-2,-110,-2,-118,73.5,73,-105
"259","Phoenix Mercury","Chicago Sky",2015-08-09,2,-115,2,-108,79.5,79.5,-106
"260","Chicago Sky","Phoenix Mercury",2015-08-09,-2,-105,-2,-103,79.5,79.5,-104
"261","Connecticut Sun","Washington Mystics",2015-08-09,3.5,-110,4,-107,72.5,71.5,100
"262","Washington Mystics","Connecticut Sun",2015-08-09,-3.5,-110,-4,-103,72.5,71.5,-110
"263","Atlanta Dream","Tulsa Shock",2015-08-09,3,-105,4,-106,79.5,78.5,-103
"264","Tulsa Shock","Atlanta Dream",2015-08-09,-3,-115,-4,-104,79.5,78.5,-107
"265","L.A. Sparks","Minnesota Lynx",2015-08-09,3,-115,2.5,-102,74.5,74,-112
"266","Minnesota Lynx","L.A. Sparks",2015-08-09,-3,-105,-2.5,-108,74.5,74,102
"267","Chicago Sky","New York Liberty",2015-08-11,2,-115,3.5,-104,77,75.5,108
"268","New York Liberty","Chicago Sky",2015-08-11,-2,-105,-3.5,-106,77,75.5,-119
"269","Indiana Fever","Washington Mystics",2015-08-11,2,-110,1.5,-106,75,75,-115
"270","Washington Mystics","Indiana Fever",2015-08-11,-2,-110,-1.5,-104,75,75,104
"271","San Antonio Stars","Minnesota Lynx",2015-08-11,8,-110,7.5,-101,74.5,73.5,-116
"272","Minnesota Lynx","San Antonio Stars",2015-08-11,-8,-110,-7.5,-109,74.5,73.5,105
"273","Seattle Storm","L.A. Sparks",2015-08-11,6.5,-110,7.5,-108,73.5,74,-105
"274","L.A. Sparks","Seattle Storm",2015-08-11,-6.5,-110,-7.5,-102,73.5,74,-105
"275","Tulsa Shock","Connecticut Sun",2015-08-12,2,-115,2,-108,76,75.5,-106
"276","Connecticut Sun","Tulsa Shock",2015-08-12,-2,-105,-2,-102,76,75.5,-104
"277","Seattle Storm","Phoenix Mercury",2015-08-12,7.5,-110,7.5,-103,73.5,73,-106
"278","Phoenix Mercury","Seattle Storm",2015-08-12,-7.5,-110,-7.5,-107,73.5,73,-104
"279","New York Liberty","Connecticut Sun",2015-08-14,-2.5,-110,-2.5,-103,73,72,-120
"280","Connecticut Sun","New York Liberty",2015-08-14,2.5,-110,2.5,-107,73,72,109
