PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT,CFGM,CFGA,CFGP,UFGM,UFGA,UFGP,CFG3M,CFG3A,CFG3P,UFG3M,UFG3A,UFG3P,X
201961,Wayne Ellington,Wayne,Ellington,MIA,60,24.0,10.4,0.2,0.5,0.1,0.75,6.2,0.398,2.5,0.387,0.2,0.1,5.6,2.6,0.549,1.0,3.0,0.345,2.3,5.4,0.424,0.6,2.0,0.308,1.8,4.3,0.407,NA
202738,Isaiah Thomas,Isaiah,Thomas,BOS,75,34.0,29.1,9.6,0.514,0.2,0.5,4.7,0.407,7.5,0.413,6.5,0.1,3.9,7.0,0.548,2.1,5.7,0.37,2.5,5.6,0.449,1.4,4.2,0.335,1.8,4.3,0.423,NA
201586,Serge Ibaka,Serge,Ibaka,ORL,56,30.4,15.1,0.5,0.5,2.9,0.607,6.7,0.418,1.4,0.435,0.5,2.2,6.3,1.5,0.547,0.9,2.3,0.395,2.6,6.1,0.422,0.1,0.2,0.5,1.3,3.5,0.374,NA
1626204,Larry Nance Jr.,Larry,Nance Jr.,LAL,61,22.6,7.0,0.1,0.286,2.1,0.75,1.7,0.376,0.1,0.25,0.1,1.2,2.0,0.3,0.547,0.1,0.3,0.235,0.8,2.1,0.37,0.0,0.0,0.0,0.1,0.5,0.286,NA
203925,Joe Harris,Joe,Harris,BKN,51,21.9,8.3,1.2,0.429,0.5,0.591,4.2,0.396,1.1,0.328,1.1,0.4,3.6,1.2,0.545,0.3,1.2,0.283,1.5,3.6,0.405,0.3,0.9,0.348,1.3,3.4,0.395,NA
202702,Kenneth Faried,Kenneth,Faried,DEN,60,21.3,9.5,0.4,0.5,3.6,0.59,0.2,0.208,0.1,0.25,0.2,2.7,0.4,0.3,0.544,0.0,0.2,0.143,0.1,0.5,0.241,0.0,0.0,0.0,0.0,0.1,0.0,NA
203897,Zach LaVine,Zach,LaVine,MIN,47,37.2,18.9,3.4,0.48,0.1,0.429,5.2,0.424,5.2,0.383,2.7,0.1,4.2,5.7,0.544,1.1,3.3,0.342,2.9,7.0,0.419,0.6,1.7,0.325,2.0,4.9,0.409,NA
203468,CJ McCollum,CJ,McCollum,POR,80,34.9,23.0,5.7,0.51,0.4,0.652,4.7,0.433,8.8,0.462,4.4,0.3,3.8,8.6,0.544,2.7,6.2,0.438,3.0,6.4,0.467,0.8,2.0,0.381,1.6,3.5,0.444,NA
203082,Terrence Ross,Terrence,Ross,TOR,53,22.3,10.5,1.2,0.519,0.1,1.0,4.1,0.347,3.4,0.472,1.0,0.0,4.0,3.0,0.544,1.1,2.8,0.377,1.8,4.4,0.411,0.5,1.5,0.316,1.3,3.3,0.406,NA
2561,David West,David,West,GSW,67,12.5,4.7,0.1,0.5,1.5,0.632,1.7,0.509,0.1,0.417,0.1,1.0,1.6,0.2,0.544,0.0,0.1,0.333,0.9,1.8,0.496,0.0,0.0,0.0,0.0,0.1,0.375,NA
