"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18599-15532","SG","K.J.","K.J. McDaniels","McDaniels","7.017391038977581","46","3500","BKN@ORL","BKN","ORL","","","",""
"18599-15788","C","Justin","Justin Hamilton","Hamilton","14.608333333333333","60","3500","BKN@ORL","BKN","ORL","","","",""
"18599-42671","SF","James","James Young","Young","4.435714176722935","28","3500","BOS@ATL","BOS","ATL","","","",""
"18599-9648","SF","Jeff","Jeff Green","Green","15.091305055480072","69","3500","BKN@ORL","ORL","BKN","O","Back","",""
"18599-71345","SF","Mindaugas","Mindaugas Kuzminskas","Kuzminskas","10.279687881469727","64","3500","WAS@NY","NY","WAS","","","",""
"18599-70832","SF","Paul","Paul Zipser","Zipser","9.99749984741211","40","3500","CHI@PHI","CHI","PHI","","","",""
"18599-42677","PG","Terry","Terry Rozier","Rozier","12.891666836208767","72","3500","BOS@ATL","BOS","ATL","","","",""
"18599-48567","PG","Cameron","Cameron Payne","Payne","10.196666463216145","30","3500","CHI@PHI","CHI","PHI","","","",""
"18599-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","5.467646879308364","34","3500","BOS@ATL","ATL","BOS","","","",""
"18599-23743","PF","Daniel","Daniel Ochefu","Ochefu","2.2666666242811413","18","3500","WAS@NY","WAS","NY","","","",""
"18599-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","19.662337662337663","77","3500","WAS@NY","WAS","NY","","","",""
"18599-15560","PG","Shabazz","Shabazz Napier","Napier","6.88","50","3500","MIN@POR","POR","MIN","","","",""
"18599-16331","C","Festus","Festus Ezeli","Ezeli","16.91304347826087","46","3500","MIN@POR","POR","MIN","O","Knee","",""
"18599-14549","PF","Lavoy","Lavoy Allen","Allen","9.410169698424259","59","3500","MIL@IND","IND","MIL","","","",""
"18599-16089","SG","Lamar","Lamar Patterson","Patterson","4.8799999237060545","5","3500","BOS@ATL","ATL","BOS","","","",""
"18599-9951","SG","Gerald","Gerald Henderson","Henderson","15.57794189453125","68","3500","CHI@PHI","PHI","CHI","","","",""
"18599-58081","PG","Tyus","Tyus Jones","Jones","9.523636141690341","55","3500","MIN@POR","MIN","POR","","","",""
"18599-9955","SG","Marcus","Marcus Thornton","Thornton","11.839394309303977","33","3500","BKN@ORL","BKN","ORL","","","",""
"18599-15587","SF","Ryan","Ryan Kelly","Kelly","3.1357143947056363","14","3500","BOS@ATL","ATL","BOS","","","",""
"18599-15843","PG","Trey","Trey Burke","Burke","8.003636585582386","55","3500","WAS@NY","WAS","NY","","","",""
"18599-9700","C","Spencer","Spencer Hawes","Hawes","13.509803921568627","51","3500","MIL@IND","MIL","IND","","","",""
"18599-23780","PF","Jake","Jake Layman","Layman","3.265625","32","3500","MIN@POR","POR","MIN","","","",""
"18599-15589","C","Marshall","Marshall Plumlee","Plumlee","4.335293938131893","17","3500","WAS@NY","NY","WAS","","","",""
"18599-17894","PF","Mike","Mike Muscala","Muscala","13.13076923076923","65","3500","BOS@ATL","ATL","BOS","","","",""
"18599-9960","PF","Omri","Omri Casspi","Casspi","10.974193942162298","31","3500","MIN@POR","MIN","POR","","","",""
"18599-9962","PF","Jonas","Jonas Jerebko","Jerebko","9.920269940350506","74","3500","BOS@ATL","BOS","ATL","","","",""
"18599-16363","SG","Joe","Joe Harris","Harris","13.584615854116587","52","3500","BKN@ORL","BKN","ORL","O","Shoulder","",""
"18599-9712","PG","Jose","Jose Calderon","Calderon","7.725000169542101","36","3500","BOS@ATL","ATL","BOS","","","",""
"18599-63478","C","Cristiano","Cristiano Felicio","Felicio","12.274193548387096","62","3500","CHI@PHI","CHI","PHI","","","",""
"18599-15864","PF","Adreian","Adreian Payne","Payne","8.274999618530273","16","3500","MIN@POR","MIN","POR","","","",""
"18599-23800","SF","Glenn","Glenn Robinson III","Robinson III","12.58695652173913","69","3500","MIL@IND","IND","MIL","O","Calf","",""
"18599-9466","PG","D.J.","D.J. Augustin","Augustin","13.625333658854167","75","3500","BKN@ORL","ORL","BKN","","","",""
"18599-9725","SF","C.J.","C.J. Miles","Miles","16.759721544053818","72","3500","MIL@IND","IND","MIL","","","",""
"18599-23294","SF","Danuel","Danuel House","House","1.2000000476837158","1","3500","WAS@NY","WAS","NY","","","",""
