Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
18347-15744,SF,Rodney,Rodney McGruder,McGruder,13.49090946,66,3500,PHO@MIA,MIA,PHO,,
18347-58247,PG,Isaiah,Isaiah Whitehead,Whitehead,14.49016433,61,3500,DET@BKN,BKN,DET,,
18347-9613,PG,Devin,Devin Harris,Harris,12.18269231,52,3500,GS@DAL,DAL,GS,,
18347-66455,PF,Henry,Henry Ellenson,Ellenson,2.600000109,14,3500,DET@BKN,DET,BKN,,
18347-66968,SF,Derrick,Derrick Jones Jr.,Jones Jr.,6.809999847,20,3500,PHO@MIA,PHO,MIA,,
18347-9629,PF,David,David West,West,12.29464286,56,3500,GS@DAL,GS,DAL,,
18347-9643,PG,Shaun,Shaun Livingston,Livingston,10.26875019,64,3500,GS@DAL,GS,DAL,,
18347-15788,C,Justin,Justin Hamilton,Hamilton,14.65555601,54,3500,DET@BKN,BKN,DET,,
18347-16301,C,Dewayne,Dewayne Dedmon,Dedmon,15.63968235,63,3500,SA@MIN,SA,MIN,,
18347-17332,C,Tarik,Tarik Black,Black,13.91785758,56,3500,LAC@LAL,LAL,LAC,,
18347-74164,PG,Nicolas,Nicolas Laprovittola,Laprovittola,5.777777778,18,3500,SA@MIN,SA,MIN,,
18347-48567,PG,Cameron,Cameron Payne,Payne,10.46551724,29,3500,CHI@TOR,CHI,TOR,,
18347-9659,PF,Brandon,Brandon Bass,Bass,9.5608693,46,3500,LAC@LAL,LAC,LAL,,
18347-9674,SG,Leandro,Leandro Barbosa,Barbosa,10.04531288,64,3500,PHO@MIA,PHO,MIA,GTD,Illness
18347-16331,C,Festus,Festus Ezeli,Ezeli,16.91304348,46,3500,MIL@POR,POR,MIL,O,Knee
18347-9677,PF,Jared,Jared Dudley,Dudley,13.18113161,53,3500,PHO@MIA,PHO,MIA,,
18347-49115,SG,Wayne,Wayne Selden Jr.,Selden Jr.,6.625,4,3500,MEM@NO,MEM,NO,,
18347-16348,SG,Darrun,Darrun Hilliard,Hilliard,5.138709776,31,3500,DET@BKN,DET,BKN,,
18347-9693,PG,Beno,Beno Udrih,Udrih,11.40333354,30,3500,DET@BKN,DET,BKN,,
18347-9700,C,Spencer,Spencer Hawes,Hawes,14.03488372,43,3500,MIL@POR,MIL,POR,,
18347-16363,SG,Joe,Joe Harris,Harris,13.58461585,52,3500,DET@BKN,BKN,DET,O,Shoulder
18347-58350,SF,Stanley,Stanley Johnson,Johnson,10.56212084,66,3500,DET@BKN,DET,BKN,,
18347-16368,SF,Mike,Mike Scott,Scott,6.716666751,18,3500,PHO@MIA,PHO,MIA,,
18347-63478,C,Cristiano,Cristiano Felicio,Felicio,12.33770452,61,3500,CHI@TOR,CHI,TOR,,
18347-15864,PF,Adreian,Adreian Payne,Payne,7.416666667,12,3500,SA@MIN,MIN,SA,,
18347-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,10.14558859,68,3500,GS@DAL,DAL,GS,,
18347-9723,PG,Ronnie,Ronnie Price,Price,3.133333206,6,3500,PHO@MIA,PHO,MIA,GTD,Leg
