PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,TCH,FC_TCH,TOP,CL_TCH,EL_TCH,PTS,PTS_TCH,PTS_HCCT,TCH_TOT,X
200794,Paul Millsap,Paul,Millsap,ATL,68,34.1,65.1,47.6,2.2,3.1,5.1,18.2,0.279,0.382,4426,NA
201942,DeMar DeRozan,DeMar,DeRozan,TOR,73,35.5,64.9,59.8,5.0,0.2,1.8,27.5,0.423,0.459,4737,NA
203953,Jabari Parker,Jabari,Parker,MIL,51,33.8,64.8,42.5,2.0,2.3,2.8,20.1,0.31,0.472,3306,NA
203468,CJ McCollum,CJ,McCollum,POR,80,34.9,64.7,56.5,4.6,0.6,1.0,23.0,0.355,0.407,5177,NA
200771,Sergio Rodriguez,Sergio,Rodriguez,PHI,68,22.3,64.7,59.7,4.7,0.3,0.4,7.8,0.12,0.131,4400,NA
201587,Nicolas Batum,Nicolas,Batum,CHA,75,34.4,64.6,53.4,2.5,1.1,1.4,15.4,0.238,0.288,4846,NA
1627812,Yogi Ferrell,Yogi,Ferrell,DAL,34,28.9,64.5,57.5,5.5,0.4,0.5,11.5,0.178,0.2,2192,NA
203954,Joel Embiid,Joel,Embiid,PHI,31,25.3,63.5,46.1,2.1,6.1,4.0,20.2,0.318,0.439,1969,NA
202330,Gordon Hayward,Gordon,Hayward,UTA,72,34.6,63.0,57.6,3.3,2.5,2.3,22.0,0.35,0.383,4533,NA
1626159,Justise Winslow,Justise,Winslow,MIA,18,34.7,63.0,43.7,3.1,1.4,1.6,10.9,0.173,0.249,1134,NA
202397,Ish Smith,Ish,Smith,DET,80,24.0,62.9,54.3,5.2,0.2,0.1,9.2,0.147,0.17,5029,NA
202391,Jeremy Lin,Jeremy,Lin,BKN,35,24.5,62.7,53.5,4.6,0.6,0.6,14.6,0.233,0.273,2193,NA
202331,Paul George,Paul,George,IND,73,35.7,62.6,50.2,3.0,0.9,3.3,23.7,0.379,0.473,4571,NA
101107,Marvin Williams,Marvin,Williams,CHA,74,30.5,62.1,28.6,1.0,1.3,1.6,11.3,0.182,0.395,4596,NA
203497,Rudy Gobert,Rudy,Gobert,UTA,80,33.9,61.8,33.8,1.4,6.3,4.6,14.0,0.227,0.416,4947,NA
201567,Kevin Love,Kevin,Love,CLE,59,31.3,61.6,34.4,1.6,3.4,2.8,18.9,0.307,0.55,3635,NA
201142,Kevin Durant,Kevin,Durant,GSW,61,33.5,61.4,48.0,2.5,1.9,3.3,25.0,0.408,0.521,3744,NA
201943,Brandon Jennings,Brandon,Jennings,NYK,58,24.7,61.0,54.8,4.6,0.4,0.2,8.6,0.14,0.156,3539,NA
2225,Tony Parker,Tony,Parker,SAS,61,25.1,61.0,54.3,5.2,0.8,1.1,10.0,0.164,0.184,3719,NA
2546,Carmelo Anthony,Carmelo,Anthony,NYK,73,34.5,60.7,51.4,2.8,1.5,4.7,22.5,0.371,0.437,4430,NA
204001,Kristaps Porzingis,Kristaps,Porzingis,NYK,66,32.8,60.5,39.1,1.5,3.3,4.0,18.1,0.3,0.464,3992,NA
203967,Dario Saric,Dario,Saric,PHI,81,26.3,60.1,41.3,1.7,1.9,3.2,12.8,0.213,0.311,4872,NA
201951,Ty Lawson,Ty,Lawson,SAC,68,25.0,59.9,54.7,4.7,0.4,0.6,9.7,0.162,0.177,4076,NA
